time,vol1,vol2
2022_Q1,Bug,Bug
2021_Q1,Bug,Bug
2020_Q1,Bug,Bug
2019_Q1,Bug,Bug
2018_Q1,26240800,82750
2017_Q1,26240800,82750
2016_Q1,Bug,Bug
2015_Q1,26240800,82750
2014_Q1,26240800,26240800
2013_Q1,26240800,26240800
2012_Q1,26240800,26240800
2011_Q1,Bug,Bug
2010_Q1,Bug,Bug
2009_Q1,Bug,Bug
2008_Q1,Không có file,Không có file
2022_Q2,Bug,Bug
2021_Q2,Bug,Bug
2020_Q2,Bug,Bug
2019_Q2,Bug,Bug
2018_Q2,26240800,82750
2017_Q2,26240800,82750
2016_Q2,26240800,82750
2015_Q2,26240800,82750
2014_Q2,,
2013_Q2,26240800,26240800
2012_Q2,26240800,26240800
2011_Q2,26240800,26240800
2010_Q2,Bug,Bug
2009_Q2,Bug,Bug
2008_Q2,Không có file,Không có file
2022_Q3,Bug,Bug
2021_Q3,Bug,Bug
2020_Q3,Bug,Bug
2019_Q3,Bug,Bug
2018_Q3,26240800,82750
2017_Q3,26240800,82750
2016_Q3,26240800,82750
2015_Q3,26240800,82750
2014_Q3,,
2013_Q3,26240800,26240800
2012_Q3,26240800,26240800
2011_Q3,26240800,26240800
2010_Q3,Bug,Bug
2009_Q3,Bug,Bug
2008_Q3,Không có file,Không có file
2022_Q4,126070,126070
2021_Q4,161590,126070
2020_Q4,161590,161590
2019_Q4,82750,161940
2018_Q4,Bug,Bug
2017_Q4,,
2016_Q4,,
2015_Q4,,
2014_Q4,,
2013_Q4,26240800,26240800
2012_Q4,,
2011_Q4,Bug,Bug
2010_Q4,Bug,Bug
2009_Q4,Bug,Bug
2008_Q4,Bug,Bug
