Period Ending:,202230/06,202130/06,202030/06,Unnamed: 4
Total Current Assets,25181,23410.98,21729.48,-
"Cash and Short Term Investments 5662 5565.34 4029.39 -  Cash - - - -  Cash & Equivalents 5662 5565.34 4029.39 -  Short Term Investments - - - -  Total Receivables, Net 10 7.58 194.16 -  Accounts Receivables - Trade, Net 10 7.58 7.86 -  Total Inventory 18987 17552.09 17323.49 -  Prepaid Expenses 26 279.1 178.01 -  Other Current Assets, Total 496 6.88 4.42 -","Cash and Short Term Investments 5662 5565.34 4029.39 -  Cash - - - -  Cash & Equivalents 5662 5565.34 4029.39 -  Short Term Investments - - - -  Total Receivables, Net 10 7.58 194.16 -  Accounts Receivables - Trade, Net 10 7.58 7.86 -  Total Inventory 18987 17552.09 17323.49 -  Prepaid Expenses 26 279.1 178.01 -  Other Current Assets, Total 496 6.88 4.42 -","Cash and Short Term Investments 5662 5565.34 4029.39 -  Cash - - - -  Cash & Equivalents 5662 5565.34 4029.39 -  Short Term Investments - - - -  Total Receivables, Net 10 7.58 194.16 -  Accounts Receivables - Trade, Net 10 7.58 7.86 -  Total Inventory 18987 17552.09 17323.49 -  Prepaid Expenses 26 279.1 178.01 -  Other Current Assets, Total 496 6.88 4.42 -","Cash and Short Term Investments 5662 5565.34 4029.39 -  Cash - - - -  Cash & Equivalents 5662 5565.34 4029.39 -  Short Term Investments - - - -  Total Receivables, Net 10 7.58 194.16 -  Accounts Receivables - Trade, Net 10 7.58 7.86 -  Total Inventory 18987 17552.09 17323.49 -  Prepaid Expenses 26 279.1 178.01 -  Other Current Assets, Total 496 6.88 4.42 -","Cash and Short Term Investments 5662 5565.34 4029.39 -  Cash - - - -  Cash & Equivalents 5662 5565.34 4029.39 -  Short Term Investments - - - -  Total Receivables, Net 10 7.58 194.16 -  Accounts Receivables - Trade, Net 10 7.58 7.86 -  Total Inventory 18987 17552.09 17323.49 -  Prepaid Expenses 26 279.1 178.01 -  Other Current Assets, Total 496 6.88 4.42 -"
Cash and Short Term Investments,5662,5565.34,4029.39,-
Cash,-,-,-,-
Cash & Equivalents,5662,5565.34,4029.39,-
Short Term Investments,-,-,-,-
"Total Receivables, Net",10,7.58,194.16,-
"Accounts Receivables - Trade, Net",10,7.58,7.86,-
Total Inventory,18987,17552.09,17323.49,-
Prepaid Expenses,26,279.1,178.01,-
