Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,5418,5423,4363.14,5337.31
"Revenue 5418 5423 4363.14 5337.31  Other Revenue, Total - - - -","Revenue 5418 5423 4363.14 5337.31  Other Revenue, Total - - - -","Revenue 5418 5423 4363.14 5337.31  Other Revenue, Total - - - -","Revenue 5418 5423 4363.14 5337.31  Other Revenue, Total - - - -","Revenue 5418 5423 4363.14 5337.31  Other Revenue, Total - - - -"
Revenue,5418,5423,4363.14,5337.31
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",3415,3496,2824.47,3863.01
Gross Profit,2003,1927,1538.67,1474.3
Total Operating Expenses,5039,5081,4347.16,5366.63
"Selling/General/Admin. Expenses, Total 1624 1585 1425.62 1359.4  Research & Development - - - -  Depreciation / Amortization 127 107 - -  Interest Expense (Income) - Net Operating -2 -1 - -  Unusual Expense (Income) - 4.3 97.08 144.22  Other Operating Expenses, Total -125 -106 - -","Selling/General/Admin. Expenses, Total 1624 1585 1425.62 1359.4  Research & Development - - - -  Depreciation / Amortization 127 107 - -  Interest Expense (Income) - Net Operating -2 -1 - -  Unusual Expense (Income) - 4.3 97.08 144.22  Other Operating Expenses, Total -125 -106 - -","Selling/General/Admin. Expenses, Total 1624 1585 1425.62 1359.4  Research & Development - - - -  Depreciation / Amortization 127 107 - -  Interest Expense (Income) - Net Operating -2 -1 - -  Unusual Expense (Income) - 4.3 97.08 144.22  Other Operating Expenses, Total -125 -106 - -","Selling/General/Admin. Expenses, Total 1624 1585 1425.62 1359.4  Research & Development - - - -  Depreciation / Amortization 127 107 - -  Interest Expense (Income) - Net Operating -2 -1 - -  Unusual Expense (Income) - 4.3 97.08 144.22  Other Operating Expenses, Total -125 -106 - -","Selling/General/Admin. Expenses, Total 1624 1585 1425.62 1359.4  Research & Development - - - -  Depreciation / Amortization 127 107 - -  Interest Expense (Income) - Net Operating -2 -1 - -  Unusual Expense (Income) - 4.3 97.08 144.22  Other Operating Expenses, Total -125 -106 - -"
"Selling/General/Admin. Expenses, Total",1624,1585,1425.62,1359.4
Research & Development,-,-,-,-
Depreciation / Amortization,127,107,-,-
Interest Expense (Income) - Net Operating,-2,-1,-,-
Unusual Expense (Income),-,4.3,97.08,144.22
"Other Operating Expenses, Total",-125,-106,-,-
Operating Income,379,342,15.97,-29.32
"Interest Income (Expense), Net Non-Operating",-,-2.33,-6.23,-0.84
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",-9,7,10.63,0.29
Net Income Before Taxes,388,335,20.37,-29.86
Provision for Income Taxes,206,62,38.18,61.16
Net Income After Taxes,182,273,-17.8,-91.03
Minority Interest,51,255,30.46,9.52
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,175,255,12.65,-81.51
Total Extraordinary Items,-,-,-,-
Net Income,175,255,12.65,-81.51
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,175,255,12.65,-81.51
Dilution Adjustment,-,-0.078,-,-
Diluted Net Income,175,255.08,12.65,-81.51
Diluted Weighted Average Shares,7.15,7.14,6.92,6.65
Diluted EPS Excluding Extraordinary Items,24.47,35.75,1.83,-12.26
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,32.93,27.17,18.68,9.58
