Period Ending:,202230/06,202130/06,202030/06,Unnamed: 4
Total Revenue,316,115.49,34.89,-
"Revenue 316 115.49 34.89 -  Other Revenue, Total - - - -","Revenue 316 115.49 34.89 -  Other Revenue, Total - - - -","Revenue 316 115.49 34.89 -  Other Revenue, Total - - - -","Revenue 316 115.49 34.89 -  Other Revenue, Total - - - -","Revenue 316 115.49 34.89 -  Other Revenue, Total - - - -"
Revenue,316,115.49,34.89,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",11,9.76,1.55,-
Gross Profit,305,105.73,33.34,-
Total Operating Expenses,546,453.54,203.43,-
"Selling/General/Admin. Expenses, Total 309 190.01 107.7 -  Research & Development 226 249.14 86.37 -  Depreciation / Amortization 2 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 4.63 7.82 -  Other Operating Expenses, Total -2 - - -","Selling/General/Admin. Expenses, Total 309 190.01 107.7 -  Research & Development 226 249.14 86.37 -  Depreciation / Amortization 2 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 4.63 7.82 -  Other Operating Expenses, Total -2 - - -","Selling/General/Admin. Expenses, Total 309 190.01 107.7 -  Research & Development 226 249.14 86.37 -  Depreciation / Amortization 2 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 4.63 7.82 -  Other Operating Expenses, Total -2 - - -","Selling/General/Admin. Expenses, Total 309 190.01 107.7 -  Research & Development 226 249.14 86.37 -  Depreciation / Amortization 2 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 4.63 7.82 -  Other Operating Expenses, Total -2 - - -","Selling/General/Admin. Expenses, Total 309 190.01 107.7 -  Research & Development 226 249.14 86.37 -  Depreciation / Amortization 2 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 4.63 7.82 -  Other Operating Expenses, Total -2 - - -"
"Selling/General/Admin. Expenses, Total",309,190.01,107.7,-
Research & Development,226,249.14,86.37,-
Depreciation / Amortization,2,-,-,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,4.63,7.82,-
"Other Operating Expenses, Total",-2,-,-,-
Operating Income,-230,-338.05,-168.54,-
"Interest Income (Expense), Net Non-Operating",-,-0.01,-,-
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",3,62.35,71.91,-
Net Income Before Taxes,-233,-275.71,-96.63,-
Provision for Income Taxes,-,1.84,0.29,-
Net Income After Taxes,-233,-277.55,-96.92,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-233,-277.55,-96.92,-
Total Extraordinary Items,-,-,-,-
Net Income,-233,-277.55,-96.92,-
Total Adjustments to Net Income,-,-0,-,-
Income Available to Common Excluding Extraordinary Items,-233,-277.55,-96.92,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,-233,-277.55,-96.92,-
Diluted Weighted Average Shares,14.68,15.55,15.55,-
Diluted EPS Excluding Extraordinary Items,-15.87,-17.85,-6.23,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,-9.28,-17.66,-5.91,-
