Period Ending:,202231/12,202131/12,Unnamed: 3,Unnamed: 4
Total Revenue,162416,74292,-,-
"Revenue 162416 74292 - -  Other Revenue, Total - - - -","Revenue 162416 74292 - -  Other Revenue, Total - - - -","Revenue 162416 74292 - -  Other Revenue, Total - - - -","Revenue 162416 74292 - -  Other Revenue, Total - - - -","Revenue 162416 74292 - -  Other Revenue, Total - - - -"
Revenue,162416,74292,-,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",136137,62551,-,-
Gross Profit,26279,11741,-,-
Total Operating Expenses,156520,72861,-,-
"Selling/General/Admin. Expenses, Total 20377 10275 - -  Research & Development 2 - - -  Depreciation / Amortization 1532 748 - -  Interest Expense (Income) - Net Operating -14 - - -  Unusual Expense (Income) - 32 - -  Other Operating Expenses, Total -1514 -1663.67 - -","Selling/General/Admin. Expenses, Total 20377 10275 - -  Research & Development 2 - - -  Depreciation / Amortization 1532 748 - -  Interest Expense (Income) - Net Operating -14 - - -  Unusual Expense (Income) - 32 - -  Other Operating Expenses, Total -1514 -1663.67 - -","Selling/General/Admin. Expenses, Total 20377 10275 - -  Research & Development 2 - - -  Depreciation / Amortization 1532 748 - -  Interest Expense (Income) - Net Operating -14 - - -  Unusual Expense (Income) - 32 - -  Other Operating Expenses, Total -1514 -1663.67 - -","Selling/General/Admin. Expenses, Total 20377 10275 - -  Research & Development 2 - - -  Depreciation / Amortization 1532 748 - -  Interest Expense (Income) - Net Operating -14 - - -  Unusual Expense (Income) - 32 - -  Other Operating Expenses, Total -1514 -1663.67 - -","Selling/General/Admin. Expenses, Total 20377 10275 - -  Research & Development 2 - - -  Depreciation / Amortization 1532 748 - -  Interest Expense (Income) - Net Operating -14 - - -  Unusual Expense (Income) - 32 - -  Other Operating Expenses, Total -1514 -1663.67 - -"
"Selling/General/Admin. Expenses, Total",20377,10275,-,-
Research & Development,2,-,-,-
Depreciation / Amortization,1532,748,-,-
Interest Expense (Income) - Net Operating,-14,-,-,-
Unusual Expense (Income),-,32,-,-
"Other Operating Expenses, Total",-1514,-1663.67,-,-
Operating Income,5896,1431,-,-
"Interest Income (Expense), Net Non-Operating",-,179,-,-
Gain (Loss) on Sale of Assets,41,142.33,-,-
"Other, Net",-1225,-1591.33,-,-
Net Income Before Taxes,7080,2052,-,-
Provision for Income Taxes,2490,999,-,-
Net Income After Taxes,4590,1053,-,-
Minority Interest,810,681,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,4531,1037,-,-
Total Extraordinary Items,-,-,-,-
Net Income,4531,1037,-,-
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,4531,1037,-,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,4531,1037,-,-
Diluted Weighted Average Shares,25.33,15.46,-,-
Diluted EPS Excluding Extraordinary Items,178.9,89.45,-,-
DPS - Common Stock Primary Issue,63,14.5,-,-
Diluted Normalized EPS,171.77,108.16,-,-
