Symbol,Year,Quarter,check
3912,2022,Q3,OK
3912,2022,Q4,OK
3912,2021,Q3,
3912,2021,Q4,
3912,2020,Q3,
3912,2020,Q4,
3912,2018,Q3,
3912,2017,Q4,
3912,2015,Q3,
3912,2015,Q4,
4098,2011,Q3,
4098,2010,Q3,
4180,2022,Q4,
4228,2022,Q2,
4228,2022,Q3,
4228,2021,Q2,
4228,2021,Q3,
4228,2018,Q1,
4228,2017,Q1,
4228,2015,Q1,
4228,2014,Q1,
4228,2014,Q2,
4228,2013,Q1,
4228,2013,Q2,
4228,2012,Q1,
4228,2012,Q2,
4228,2011,Q1,
4228,2011,Q2,
4228,2010,Q1,
4228,2010,Q2,
4228,2009,Q1,
4228,2009,Q2,
4228,2008,Q1,
4228,2008,Q2,
4316,2022,Q2,
4316,2021,Q2,
4316,2020,Q2,
4316,2020,Q3,
4316,2020,Q4,
4316,2019,Q2,
4316,2018,Q2,
4316,2018,Q3,
4316,2018,Q4,
4316,2017,Q2,
4316,2017,Q3,
4316,2016,Q2,
4316,2016,Q3,
4316,2015,Q2,
4316,2015,Q4,
4316,2014,Q2,
4316,2014,Q3,
4316,2013,Q4,
4316,2012,Q1,
4316,2011,Q2,
4316,2010,Q2,
4316,2009,Q1,
4316,2009,Q2,
4316,2009,Q4,
4317,2013,Q4,
4317,2010,Q4,
4323,2022,Q3,
4323,2008,Q2,
4324,2022,Q4,
4324,2021,Q1,
4324,2020,Q1,
4324,2020,Q2,
4324,2019,Q1,
4324,2019,Q2,
4324,2019,Q4,
4324,2018,Q2,
4324,2017,Q2,
4324,2016,Q2,
4324,2015,Q1,
4324,2015,Q2,
4324,2014,Q1,
4324,2014,Q2,
4324,2014,Q3,
4324,2013,Q1,
4324,2013,Q2,
4324,2013,Q3,
4324,2012,Q1,
4324,2012,Q2,
4324,2012,Q3,
4324,2011,Q1,
4324,2011,Q2,
4324,2010,Q1,
4324,2009,Q1,
4324,2009,Q3,
4324,2008,Q1,
4324,2008,Q3,
4326,2022,Q3,
4326,2021,Q3,
4326,2019,Q2,
4326,2018,Q2,
4326,2018,Q3,
4326,2017,Q2,
4326,2017,Q3,
4326,2016,Q2,
4326,2016,Q3,
4326,2015,Q2,
4326,2014,Q2,
4326,2014,Q3,
4326,2013,Q2,
4326,2013,Q3,
4326,2012,Q2,
4326,2011,Q2,
4326,2011,Q3,
4326,2010,Q2,
4326,2010,Q3,
4326,2009,Q2,
4326,2009,Q3,
4326,2008,Q2,
4326,2008,Q3,
4391,2022,Q3,
4391,2021,Q3,
4391,2021,Q4,
4391,2020,Q3,
4391,2020,Q4,
4391,2019,Q2,
4391,2019,Q3,
4391,2019,Q4,
4391,2018,Q2,
4391,2018,Q3,
4401,2016,Q1,
4401,2015,Q1,
4401,2014,Q1,
4401,2013,Q1,
4403,2008,Q4,
4433,2021,Q3,
4433,2020,Q3,
4433,2019,Q2,
4448,2022,Q3,
4448,2021,Q2,
4448,2020,Q2,
4452,2022,Q2,
4452,2021,Q2,
4452,2020,Q1,
4452,2020,Q2,
4452,2019,Q1,
4452,2019,Q2,
4452,2018,Q1,
4452,2018,Q2,
4452,2018,Q4,
